Partido,Temporada,Jornada,Local,Visitante,Goles Local,Goles Visitante,Fecha,Timestamp
1,1940-41,1,Atletico Aviacion,Celta de Vigo,5,4,29/09/1940,-923241600.0
2,1940-41,1,Espanyol,Real Oviedo,5,0,29/09/1940,-923241600.0
3,1940-41,1,Hercules,Murcia,4,0,29/09/1940,-923241600.0
4,1940-41,1,Sevilla,Barcelona,11,1,29/09/1940,-923241600.0
5,1940-41,1,Valencia,Athletic Club,2,2,29/09/1940,-923241600.0
6,1940-41,1,Real Zaragoza,Real Madrid,1,1,29/09/1940,-923241600.0
7,1940-41,2,Athletic Club,Real Zaragoza,0,0,06/10/1940,-922636800.0
8,1940-41,2,Barcelona,Valencia,4,3,06/10/1940,-922636800.0
9,1940-41,2,Celta de Vigo,Espanyol,7,1,06/10/1940,-922636800.0
10,1940-41,2,Murcia,Atletico Aviacion,1,1,06/10/1940,-922636800.0
11,1940-41,2,Real Madrid,Hercules,5,3,06/10/1940,-922636800.0
12,1940-41,2,Real Oviedo,Sevilla,0,4,06/10/1940,-922636800.0
13,1940-41,3,Real Zaragoza,Barcelona,2,1,12/10/1940,-922118400.0
14,1940-41,3,Atletico Aviacion,Real Madrid,3,1,13/10/1940,-922032000.0
15,1940-41,3,Espanyol,Murcia,2,1,13/10/1940,-922032000.0
16,1940-41,3,Hercules,Athletic Club,1,0,13/10/1940,-922032000.0
17,1940-41,3,Real Oviedo,Celta de Vigo,4,3,13/10/1940,-922032000.0
18,1940-41,3,Sevilla,Valencia,10,3,13/10/1940,-922032000.0
19,1940-41,4,Athletic Club,Atletico Aviacion,0,5,20/10/1940,-921427200.0
20,1940-41,4,Barcelona,Hercules,3,2,20/10/1940,-921427200.0
21,1940-41,4,Celta de Vigo,Sevilla,2,2,20/10/1940,-921427200.0
22,1940-41,4,Murcia,Real Oviedo,1,2,20/10/1940,-921427200.0
23,1940-41,4,Real Madrid,Espanyol,4,1,20/10/1940,-921427200.0
24,1940-41,4,Valencia,Real Zaragoza,1,0,20/10/1940,-921427200.0
25,1940-41,5,Atletico Aviacion,Barcelona,4,4,27/10/1940,-920822400.0
26,1940-41,5,Celta de Vigo,Murcia,5,1,27/10/1940,-920822400.0
27,1940-41,5,Espanyol,Athletic Club,1,1,27/10/1940,-920822400.0
28,1940-41,5,Hercules,Valencia,0,2,27/10/1940,-920822400.0
29,1940-41,5,Real Oviedo,Real Madrid,0,2,27/10/1940,-920822400.0
30,1940-41,5,Sevilla,Real Zaragoza,4,1,27/10/1940,-920822400.0
31,1940-41,6,Athletic Club,Real Oviedo,2,1,03/11/1940,-920217600.0
32,1940-41,6,Barcelona,Espanyol,2,3,03/11/1940,-920217600.0
33,1940-41,6,Murcia,Sevilla,2,1,03/11/1940,-920217600.0
34,1940-41,6,Real Madrid,Celta de Vigo,3,1,03/11/1940,-920217600.0
35,1940-41,6,Valencia,Atletico Aviacion,3,1,03/11/1940,-920217600.0
36,1940-41,6,Real Zaragoza,Hercules,7,0,03/11/1940,-920217600.0
37,1940-41,7,Atletico Aviacion,Real Zaragoza,3,1,10/11/1940,-919612800.0
38,1940-41,7,Celta de Vigo,Athletic Club,1,2,10/11/1940,-919612800.0
39,1940-41,7,Espanyol,Valencia,2,1,10/11/1940,-919612800.0
40,1940-41,7,Murcia,Real Madrid,3,1,10/11/1940,-919612800.0
41,1940-41,7,Real Oviedo,Barcelona,3,1,10/11/1940,-919612800.0
42,1940-41,7,Sevilla,Hercules,8,3,10/11/1940,-919612800.0
43,1940-41,8,Athletic Club,Murcia,6,1,17/11/1940,-919008000.0
44,1940-41,8,Barcelona,Celta de Vigo,2,0,17/11/1940,-919008000.0
45,1940-41,8,Hercules,Atletico Aviacion,3,3,17/11/1940,-919008000.0
46,1940-41,8,Real Madrid,Sevilla,4,1,17/11/1940,-919008000.0
47,1940-41,8,Valencia,Real Oviedo,5,1,17/11/1940,-919008000.0
48,1940-41,8,Real Zaragoza,Espanyol,0,3,17/11/1940,-919008000.0
49,1940-41,9,Celta de Vigo,Valencia,6,2,24/11/1940,-918403200.0
50,1940-41,9,Espanyol,Hercules,1,2,24/11/1940,-918403200.0
51,1940-41,9,Murcia,Barcelona,1,3,24/11/1940,-918403200.0
52,1940-41,9,Real Madrid,Athletic Club,0,1,24/11/1940,-918403200.0
53,1940-41,9,Real Oviedo,Real Zaragoza,5,4,24/11/1940,-918403200.0
54,1940-41,9,Sevilla,Atletico Aviacion,1,1,24/11/1940,-918403200.0
55,1940-41,10,Atletico Aviacion,Espanyol,5,3,01/12/1940,-917798400.0
56,1940-41,10,Barcelona,Real Madrid,3,0,01/12/1940,-917798400.0
57,1940-41,10,Hercules,Real Oviedo,3,0,01/12/1940,-917798400.0
58,1940-41,10,Sevilla,Athletic Club,1,0,01/12/1940,-917798400.0
59,1940-41,10,Valencia,Murcia,3,3,01/12/1940,-917798400.0
60,1940-41,10,Real Zaragoza,Celta de Vigo,1,0,01/12/1940,-917798400.0
61,1940-41,11,Athletic Club,Barcelona,3,1,08/12/1940,-917193600.0
62,1940-41,11,Celta de Vigo,Hercules,2,0,08/12/1940,-917193600.0
63,1940-41,11,Espanyol,Sevilla,4,3,08/12/1940,-917193600.0
64,1940-41,11,Murcia,Real Zaragoza,1,0,08/12/1940,-917193600.0
65,1940-41,11,Real Madrid,Valencia,6,1,08/12/1940,-917193600.0
66,1940-41,11,Real Oviedo,Atletico Aviacion,4,3,08/12/1940,-917193600.0
67,1940-41,12,Athletic Club,Valencia,5,0,15/12/1940,-916588800.0
68,1940-41,12,Barcelona,Sevilla,4,0,15/12/1940,-916588800.0
69,1940-41,12,Celta de Vigo,Atletico Aviacion,0,2,15/12/1940,-916588800.0
70,1940-41,12,Murcia,Hercules,0,0,15/12/1940,-916588800.0
71,1940-41,12,Real Madrid,Real Zaragoza,6,0,15/12/1940,-916588800.0
72,1940-41,12,Real Oviedo,Espanyol,3,3,15/12/1940,-916588800.0
73,1940-41,13,Atletico Aviacion,Murcia,6,0,22/12/1940,-915984000.0
74,1940-41,13,Espanyol,Celta de Vigo,4,1,22/12/1940,-915984000.0
75,1940-41,13,Hercules,Real Madrid,0,3,22/12/1940,-915984000.0
76,1940-41,13,Sevilla,Real Oviedo,4,1,22/12/1940,-915984000.0
77,1940-41,13,Valencia,Barcelona,3,1,22/12/1940,-915984000.0
78,1940-41,13,Real Zaragoza,Athletic Club,2,2,22/12/1940,-915984000.0
79,1940-41,14,Athletic Club,Hercules,4,0,29/12/1940,-915379200.0
80,1940-41,14,Barcelona,Real Zaragoza,2,0,29/12/1940,-915379200.0
81,1940-41,14,Celta de Vigo,Real Oviedo,3,1,29/12/1940,-915379200.0
82,1940-41,14,Murcia,Espanyol,3,1,29/12/1940,-915379200.0
83,1940-41,14,Real Madrid,Atletico Aviacion,1,4,29/12/1940,-915379200.0
84,1940-41,14,Valencia,Sevilla,4,1,29/12/1940,-915379200.0
85,1940-41,15,Espanyol,Real Madrid,3,2,05/01/1941,-914774400.0
86,1940-41,15,Hercules,Barcelona,1,3,05/01/1941,-914774400.0
87,1940-41,15,Real Oviedo,Murcia,2,1,05/01/1941,-914774400.0
88,1940-41,15,Sevilla,Celta de Vigo,3,0,05/01/1941,-914774400.0
89,1940-41,15,Real Zaragoza,Valencia,1,2,05/01/1941,-914774400.0
90,1940-41,15,Atletico Aviacion,Athletic Club,1,1,06/01/1941,-914688000.0
91,1940-41,16,Athletic Club,Espanyol,6,2,19/01/1941,-913564800.0
92,1940-41,16,Barcelona,Atletico Aviacion,2,4,19/01/1941,-913564800.0
93,1940-41,16,Murcia,Celta de Vigo,3,0,19/01/1941,-913564800.0
94,1940-41,16,Valencia,Hercules,6,0,19/01/1941,-913564800.0
95,1940-41,16,Real Zaragoza,Sevilla,0,3,19/01/1941,-913564800.0
96,1940-41,16,Real Madrid,Real Oviedo,1,0,21/01/1941,-913392000.0
97,1940-41,17,Atletico Aviacion,Valencia,2,2,26/01/1941,-912960000.0
98,1940-41,17,Celta de Vigo,Real Madrid,1,2,26/01/1941,-912960000.0
99,1940-41,17,Espanyol,Barcelona,3,1,26/01/1941,-912960000.0
100,1940-41,17,Hercules,Real Zaragoza,1,0,26/01/1941,-912960000.0
101,1940-41,17,Real Oviedo,Athletic Club,0,2,26/01/1941,-912960000.0
102,1940-41,17,Sevilla,Murcia,3,2,26/01/1941,-912960000.0
103,1940-41,18,Athletic Club,Celta de Vigo,4,1,02/02/1941,-912355200.0
104,1940-41,18,Barcelona,Real Oviedo,7,0,02/02/1941,-912355200.0
105,1940-41,18,Hercules,Sevilla,1,0,02/02/1941,-912355200.0
106,1940-41,18,Real Madrid,Murcia,2,1,02/02/1941,-912355200.0
107,1940-41,18,Valencia,Espanyol,3,0,02/02/1941,-912355200.0
108,1940-41,18,Real Zaragoza,Atletico Aviacion,1,1,02/02/1941,-912355200.0
109,1940-41,19,Atletico Aviacion,Hercules,7,1,09/02/1941,-911750400.0
110,1940-41,19,Celta de Vigo,Barcelona,1,4,09/02/1941,-911750400.0
111,1940-41,19,Espanyol,Real Zaragoza,3,0,09/02/1941,-911750400.0
112,1940-41,19,Murcia,Athletic Club,1,3,09/02/1941,-911750400.0
113,1940-41,19,Real Oviedo,Valencia,3,3,09/02/1941,-911750400.0
114,1940-41,19,Sevilla,Real Madrid,5,4,09/02/1941,-911750400.0
115,1940-41,20,Athletic Club,Real Madrid,3,1,16/02/1941,-911145600.0
116,1940-41,20,Atletico Aviacion,Sevilla,3,1,16/02/1941,-911145600.0
117,1940-41,20,Barcelona,Murcia,3,0,16/02/1941,-911145600.0
118,1940-41,20,Hercules,Espanyol,3,2,16/02/1941,-911145600.0
119,1940-41,20,Valencia,Celta de Vigo,5,1,16/02/1941,-911145600.0
120,1940-41,20,Real Zaragoza,Real Oviedo,3,0,16/02/1941,-911145600.0
121,1940-41,21,Athletic Club,Sevilla,2,1,23/02/1941,-910540800.0
122,1940-41,21,Espanyol,Atletico Aviacion,2,3,23/02/1941,-910540800.0
123,1940-41,21,Murcia,Valencia,2,5,23/02/1941,-910540800.0
124,1940-41,21,Real Madrid,Barcelona,1,2,23/02/1941,-910540800.0
125,1940-41,21,Real Oviedo,Hercules,6,0,23/02/1941,-910540800.0
126,1940-41,21,Celta de Vigo,Real Zaragoza,1,0,30/03/1941,-907516800.0
127,1940-41,22,Atletico Aviacion,Real Oviedo,3,0,02/03/1941,-909936000.0
128,1940-41,22,Barcelona,Athletic Club,1,0,02/03/1941,-909936000.0
129,1940-41,22,Hercules,Celta de Vigo,0,5,02/03/1941,-909936000.0
130,1940-41,22,Sevilla,Espanyol,3,1,02/03/1941,-909936000.0
131,1940-41,22,Valencia,Real Madrid,1,1,02/03/1941,-909936000.0
132,1940-41,22,Real Zaragoza,Murcia,2,1,02/03/1941,-909936000.0
133,1941-42,1,Athletic Club,Espanyol,2,4,28/09/1941,-891792000.0
134,1941-42,1,Atletico Aviacion,Valencia,3,0,28/09/1941,-891792000.0
135,1941-42,1,Barcelona,Hercules,4,4,28/09/1941,-891792000.0
136,1941-42,1,Deportivo,Castellon,2,1,28/09/1941,-891792000.0
137,1941-42,1,Granada,Celta de Vigo,1,1,28/09/1941,-891792000.0
138,1941-42,1,Real Sociedad,Real Madrid,2,3,28/09/1941,-891792000.0
139,1941-42,1,Sevilla,Real Oviedo,10,0,28/09/1941,-891792000.0
140,1941-42,2,Castellon,Sevilla,1,1,05/10/1941,-891187200.0
141,1941-42,2,Celta de Vigo,Athletic Club,3,0,05/10/1941,-891187200.0
142,1941-42,2,Espanyol,Barcelona,5,2,05/10/1941,-891187200.0
143,1941-42,2,Hercules,Deportivo,4,2,05/10/1941,-891187200.0
144,1941-42,2,Real Madrid,Granada,5,2,05/10/1941,-891187200.0
145,1941-42,2,Real Oviedo,Atletico Aviacion,2,3,05/10/1941,-891187200.0
146,1941-42,2,Valencia,Real Sociedad,6,0,05/10/1941,-891187200.0
147,1941-42,3,Athletic Club,Real Madrid,1,0,12/10/1941,-890582400.0
148,1941-42,3,Atletico Aviacion,Real Sociedad,4,1,12/10/1941,-890582400.0
149,1941-42,3,Barcelona,Celta de Vigo,0,2,12/10/1941,-890582400.0
150,1941-42,3,Deportivo,Espanyol,2,0,12/10/1941,-890582400.0
151,1941-42,3,Granada,Valencia,1,2,12/10/1941,-890582400.0
152,1941-42,3,Real Oviedo,Castellon,4,4,12/10/1941,-890582400.0
153,1941-42,3,Sevilla,Hercules,7,2,12/10/1941,-890582400.0
154,1941-42,4,Castellon,Atletico Aviacion,2,4,19/10/1941,-889977600.0
155,1941-42,4,Celta de Vigo,Deportivo,2,1,19/10/1941,-889977600.0
156,1941-42,4,Espanyol,Sevilla,3,1,19/10/1941,-889977600.0
